Gene,Half-life
YFL022C,30.28729200931042
YPR047W,99.48830832430055
YGR240C,28.782869592766133
YMR205C,41.70177735892192
YMR035W,16.539669826451675
YMR150C,20.41272024861514
YLR163C,27.603865461716012
YHR024C,20.91799003536376
YGR270W,35.24989457135803
YDL020C,37.176648562019054
YDR069C,24.309750134162112
YDL040C,15.776933975212495
YHR013C,11.762827749456171
YAL038W,255.49226468013873
YER178W,39.202362152632155
YBR221C,27.986969631346682
YNL071W,37.86578539352034
YGR193C,32.673859113911426
YIL126W,30.764697294483028
YLR357W,19.015302861328625
YKR008W,14.63424276987571
YLR321C,13.56528119653657
YOR213C,9.024081507166127
YFR037C,19.190982872541067
YGR056W,19.87471723070095
YCR052W,18.583108596109465
YDR052C,182.4859453724518
YDL017W,13.163588410988663
YJL194W,11.0529559826612
YIL009C-A,19.164819943245476
YLR318W,33.31227022548091
YLR233C,25.948334587887068
YKL141W,18.525427506456026
YLL041C,61.160547799377945
YDR178W,48.39473134961895
YKL148C,49.60896222731116
YDR529C,21.857941480540674
YJL166W,34.03218876217063
YHR001W-A,39.82247003972669
YBL045C,32.02395544658861
YFR033C,22.740729484146385
YPR191W,62.23354422938266
YOR065W,50.2732971126592
YGR183C,384.77775876265
Q0105,109.76841186024967
YGL187C,21.833824803250344
YLR038C,23.15914498144551
YMR256C,24.860207891909543
YGL191W,27.56474993068881
YDL067C,36.571978126649896
YHR051W,34.549639285815196
YLR395C,31.427129002939086
Q0275,92.46035579220258
YNL052W,17.278586129116107
Q0045,59.09567509025328
YJR121W,21.978399918725746
YBL099W,24.774324083818737
YBR039W,19.61092553182264
YDL004W,24.7398582741388
Q0130,114.36140707347575
YPL271W,38.809646663386054
YLR295C,22.08463867101746
YPR020W,47.81770053197326
YDR377W,20.391297489407197
YDR298C,21.21294728815968
YPL078C,17.412841102888027
Q0080,89.8409941238834
YKL016C,15.021652137625017
YDL181W,73.58251798758415
YGR207C,26.552976039032917
YGR180C,59.276596203986
YJL026W,43.51660341926128
YER070W,13.476704884492863
YIL066C,23.538755378042897
YJL209W,15.173919532450437
YHL038C,39.94043080558938
YBR188C,35.488308952146596
YDR473C,35.666219492244224
YDR194C,18.375857898887954
YOR334W,513.6575090887906
YDL044C,19.523964614446715
YPR134W,25.799017599631192
Q0120,76.90476936091078
YLR382C,8.237807194382274
YIR021W,28.71393149942365
YKR052C,23.539191839529614
